lat,lng,streetName
43.6441692,-79.3901462,Windsor St
43.6442838,-79.39874659999998,King St W
43.6454499,-79.40242999999998,Adelaide St W
43.6463507,-79.39104020000002,Widmer St
43.643747,-79.39933660000003,Portland St
43.6460472,-79.39881000000003,Morrison St
43.6451958,-79.39045299999998,Wellington St W
43.6449328,-79.40048569999999,Portland St
43.6453955,-79.39513649999998,Spadina Ave
43.6451886,-79.3997412,King St W
43.6457331,-79.39323609999997,King St W
43.6458814,-79.39675979999998,Brant St
43.6453943,-79.393667,King St W
43.6463654,-79.40231219999998,Richmond St W
43.6438016,-79.40048230000002,Stewart St
43.6457331,-79.39323609999997,King St W
43.6462243,-79.40265110000001,Richmond St W
43.6453373,-79.4024157,Adelaide St W
43.6447768,-79.39750779999997,King St W
43.6440115,-79.40115309999999,King St W
43.6447768,-79.39750779999997,King St W
43.6441688,-79.39149320000001,Blue Jays Way
43.6463185,-79.39886380000002,Adelaide St W
43.6437502,-79.39689069999997,Wellington St W
43.6451984,-79.39044130000002,Wellington St W
43.6436855,-79.39922839999997,Portland St
43.6460436,-79.3924733,Peter St
43.6453141,-79.39752140000002,Brant St
43.6460774,-79.39329670000001,King St W
43.6441791,-79.40184720000002,King St W
43.6437977,-79.39960400000001,Portland St
43.6443056,-79.3999159,King St W
43.6460716,-79.40043059999999,Portland St
43.6456042,-79.392969,King St W
43.6453087,-79.39464729999997,King St W
43.6437925,-79.39012020000001,Windsor St
43.6462461,-79.392853,King St W
43.645764,-79.40088320000001,Adelaide St W
43.6449607,-79.39001659999997,Wellington St W
43.64574400000001,-79.39437149999998,King St W
43.643581,-79.39385290000001,Clarence Square
43.64444599999999,-79.39366259999997,Clarence Square
43.6435886,-79.39854209999999,Wellington St W
43.6451886,-79.3997412,King St W
43.6448492,-79.4026652,Bathurst St
43.6449936,-79.3933917,Clarence Square
43.6446249,-79.3951973,Spadina Ave
43.6456832,-79.3927668,King St W
43.6463648,-79.39104629999997,Widmer St
43.6438016,-79.40048230000002,Stewart St
43.6441148,-79.39300409999998,Clarence Square
43.6463275,-79.39225670000002,King St W
43.64537079999999,-79.39801090000003,Brant St
43.644217,-79.3966997,Wellington St W
43.6441197,-79.39588329999998,Wellington St W
43.6441327,-79.40039239999999,King St W
43.6446139,-79.39011729999999,Wellington St W
43.6456544,-79.3985998,Morrison St
43.6462464,-79.3963377,Adelaide St W
43.6436175,-79.39043379999998,Front St W
43.6439789,-79.40140930000001,King St W
43.6435532,-79.40280819999998,Bathurst St
43.6449936,-79.3933917,Clarence Square
43.6465551,-79.39699229999997,Adelaide St W
43.644715,-79.39096,Wellington St W
43.6438637,-79.39705029999999,Wellington St W
43.6439175,-79.40162889999999,King St W
43.645495,-79.39332030000003,King St W
43.6455735,-79.39899149999997,Morrison St
43.6447823,-79.40041980000001,Portland St
43.6456042,-79.392969,King St W
43.6459509,-79.39149800000001,King St W
43.6454222,-79.4010394,Adelaide St W
43.6452945,-79.39167359999999,Blue Jays Way
43.6455868,-79.3995018,Adelaide St W
43.6454236,-79.39622129999998,King St W
43.6442543,-79.39160520000001,Blue Jays Way
43.6441775,-79.39486640000001,Spadina Ave
43.6447004,-79.39094949999998,Wellington St W
43.6438342,-79.39664949999997,Wellington St W
43.6450676,-79.39086370000001,Wellington St W
43.6466105,-79.4006458,Portland St
43.6450676,-79.39086370000001,Wellington St W
43.64657709999999,-79.39510369999999,Spadina Ave
43.6449717,-79.39123789999996,Wellington St W
43.6443239,-79.39943360000001,King St W
43.6461651,-79.3970301,Adelaide St W
43.6455711,-79.3958427,King St W
43.6447961,-79.39372650000001,Clarence Square
43.6458924,-79.39768620000001,Brant St
43.6466591,-79.39215690000003,Peter St
43.6444801,-79.40054629999997,King St W
43.6451886,-79.3997412,King St W
43.6464505,-79.39175940000001,King St W
43.6435532,-79.40280819999998,Bathurst St
43.6450312,-79.39510489999998,Spadina Ave
43.64643119999999,-79.40174480000002,Richmond St W
43.6444737,-79.39835629999999,Brant Pl
43.6439789,-79.40140930000001,King St W
43.6450012,-79.39602330000002,King St W
43.6447961,-79.39372650000001,Clarence Square
43.6463185,-79.39886380000002,Adelaide St W
43.6439965,-79.39884899999998,King St W
43.6463185,-79.39886380000002,Adelaide St W
43.6453943,-79.393667,King St W
